latitude_longitude right distance added,latitude_longitude left distance added
10.0177036 76.34962771122271,10.0177036 76.34917108877728
10.0176989 76.3496228112194,10.0176989 76.3491661887806
10.0176938 76.3496179112158,10.0176938 76.34916128878419
10.0176776 76.34960821120441,10.0176776 76.34915158879559
10.0176699 76.34960621119897,10.0176699 76.34914958880101
10.0176635 76.34960501119447,10.0176635 76.34914838880552
10.0176577 76.3496053111904,10.0176577 76.3491486888096
10.0176513 76.34960071118589,10.0176513 76.3491440888141
10.0176459 76.3495966111821,10.0176459 76.3491399888179
10.0176413 76.34959321117886,10.0176413 76.34913658882114
10.0176355 76.34959191117478,10.0176355 76.34913528882522
10.0176212 76.3495863111647,10.0176212 76.34912968883529
10.0176199 76.3495876111638,10.0176199 76.34913098883621
10.0176204 76.34959001116415,10.0176204 76.34913338883585
10.0176264 76.34959311116837,10.0176264 76.34913648883163
10.0176337 76.3495973111735,10.0176337 76.3491406888265
10.0176389 76.34960121117717,10.0176389 76.34914458882284
10.017645 76.34960561118146,10.017645 76.34914898881854
10.0176568 76.34961321118978,10.0176568 76.34915658881023
10.017661 76.34961531119272,10.017661 76.34915868880726
10.0176686 76.34961881119807,10.0176686 76.34916218880193
10.0176737 76.34962161120167,10.0176737 76.34916498879834
10.0176809 76.34962571120673,10.0176809 76.34916908879327
10.0176872 76.34962901121116,10.0176872 76.34917238878884
10.0176938 76.34963281121581,10.0176938 76.3491761887842
10.0176991 76.34963581121954,10.0176991 76.34917918878045
10.0177053 76.34963981122391,10.0177053 76.3491831887761
10.0177079 76.34964881122573,10.0177079 76.34919218877425
10.0177128 76.34966431122918,10.0177128 76.34920768877082
10.0177166 76.34966791123186,10.0177166 76.34921128876813
10.0177214 76.34967301123524,10.0177214 76.34921638876477
10.0177249 76.3496770112377,10.0177249 76.34922038876229
10.0177292 76.34968241124074,10.0177292 76.34922578875927
10.0177333 76.34968841124362,10.0177333 76.34923178875638
10.0177354 76.34969211124509,10.0177354 76.3492354887549
10.0177385 76.34969741124726,10.0177385 76.34924078875272
10.0177372 76.34971071124636,10.0177372 76.34925408875364
10.0177375 76.34971961124657,10.0177375 76.34926298875342
10.0177396 76.34972791124805,10.0177396 76.34927128875195
10.0177414 76.34973441124932,10.0177414 76.34927778875068
10.0177471 76.34974451125332,10.0177471 76.34928788874667
10.0177613 76.34975801126333,10.0177613 76.34930138873668
10.0177677 76.34976031126783,10.0177677 76.34930368873216
10.0177735 76.34976241127191,10.0177735 76.34930578872809
10.0177795 76.34976661127614,10.0177795 76.34930998872387
10.0177883 76.34977671128233,10.0177883 76.34932008871768
10.0177925 76.34977961128529,10.0177925 76.34932298871472
10.0177988 76.34978401128971,10.0177988 76.34932738871028
10.0178146 76.34979391130085,10.0178146 76.34933728869916
10.0178192 76.34979601130408,10.0178192 76.34933938869591
10.0178199 76.34980251130457,10.0178199 76.34934588869544
10.0178219 76.34980991130597,10.0178219 76.34935328869402
10.017824 76.34981631130745,10.017824 76.34935968869254
10.0178299 76.34982621131162,10.0178299 76.34936958868839
10.017837 76.34983631131661,10.017837 76.3493796886834
10.0178401 76.34984151131879,10.0178401 76.3493848886812
10.0178124 76.34989031129929,10.0178124 76.3494336887007
10.0178171 76.3498982113026,10.0178171 76.34944158869739
10.0178287 76.34990771131076,10.0178287 76.34945108868924
10.0178352 76.34991041131534,10.0178352 76.34945378868466
10.0178462 76.34991401132308,10.0178462 76.34945738867691
10.017855 76.34991471132928,10.017855 76.34945808867072
10.0178633 76.34991341133512,10.0178633 76.34945678866488
10.0178824 76.34991191134857,10.0178824 76.34945528865144
10.0178925 76.34991131135567,10.0178925 76.34945468864433
10.0179038 76.34991021136362,10.0179038 76.34945358863636
10.0179101 76.34991041136806,10.0179101 76.34945378863193
10.0179201 76.34991091137509,10.0179201 76.3494542886249
10.0179314 76.34991231138305,10.0179314 76.34945568861694
10.0179517 76.34991711139735,10.0179517 76.34946048860265
10.0179597 76.34992171140298,10.0179597 76.34946508859703
10.0179649 76.34992521140664,10.0179649 76.34946858859335
10.0179698 76.34992881141008,10.0179698 76.34947218858991
10.0179741 76.34993251141312,10.0179741 76.3494758885869
10.0134593 76.54493690823584,10.0134593 76.54448029176417
10.0179831 76.34994061141944,10.0179831 76.34948398858054
10.017985 76.34994481142078,10.017985 76.34948818857922
10.0179866 76.3499470114219,10.0179866 76.34949038857809
10.0179623 76.34996321140481,10.0179623 76.34950658859519
10.0179608 76.34996001140375,10.0179608 76.34950338859626
10.0179599 76.34995481140312,10.0179599 76.34949818859688
10.0179595 76.34995091140284,10.0179595 76.34949428859717
10.0179627 76.34992931140509,10.0179627 76.3494726885949
10.017965 76.34992191140671,10.017965 76.34946528859328
